时间,煤炭开采和洗选业增加值_同比增长,煤炭开采和洗选业增加值_累计增长,石油和天然气开采业增加值_同比增长,石油和天然气开采业增加值_累计增长,黑色金属矿采选业增加值_同比增长,黑色金属矿采选业增加值_累计增长,有色金属矿采选业增加值_同比增长,有色金属矿采选业增加值_累计增长,非金属矿采选业增加值_同比增长,非金属矿采选业增加值_累计增长,开采专业及辅助性活动增加值_同比增长,开采专业及辅助性活动增加值_累计增长,其他采矿业增加值_同比增长,其他采矿业增加值_累计增长,农副食品加工业增加值_同比增长,农副食品加工业增加值_累计增长,食品制造业增加值_同比增长,食品制造业增加值_累计增长,酒、饮料和精制茶制造业增加值_同比增长,酒、饮料和精制茶制造业增加值_累计增长,烟草制品业增加值_同比增长,烟草制品业增加值_累计增长,纺织业增加值_同比增长,纺织业增加值_累计增长,纺织服装、服饰业增加值_同比增长,纺织服装、服饰业增加值_累计增长,皮革、毛皮、羽毛及其制品和制鞋业增加值_同比增长,皮革、毛皮、羽毛及其制品和制鞋业增加值_累计增长,木材加工和木、竹、藤、棕、草制品业增加值_同比增长,木材加工和木、竹、藤、棕、草制品业增加值_累计增长,家具制造业增加值_同比增长,家具制造业增加值_累计增长,造纸和纸制品业增加值_同比增长,造纸和纸制品业增加值_累计增长,印刷和记录媒介复制业增加值_同比增长,印刷和记录媒介复制业增加值_累计增长,文教、工美、体育和娱乐用品制造业增加值_同比增长,文教、工美、体育和娱乐用品制造业增加值_累计增长,石油、煤炭及其他燃料加工业增加值_同比增长,石油、煤炭及其他燃料加工业增加值_累计增长,化学原料和化学制品制造业增加值_同比增长,化学原料和化学制品制造业增加值_累计增长,医药制造业增加值_同比增长,医药制造业增加值_累计增长,化学纤维制造业增加值_同比增长,化学纤维制造业增加值_累计增长,橡胶和塑料制品业增加值_同比增长,橡胶和塑料制品业增加值_累计增长,非金属矿物制品业增加值_同比增长,非金属矿物制品业增加值_累计增长,黑色金属冶炼和压延加工业增加值_同比增长,黑色金属冶炼和压延加工业增加值_累计增长,有色金属冶炼和压延加工业增加值_同比增长,有色金属冶炼和压延加工业增加值_累计增长,金属制品业增加值_同比增长,金属制品业增加值_累计增长,通用设备制造业增加值_同比增长,通用设备制造业增加值_累计增长,专用设备制造业增加值_同比增长,专用设备制造业增加值_累计增长,汽车制造业增加值_同比增长,汽车制造业增加值_累计增长,铁路、船舶、航空航天和其他运输设备制造业增加值_同比增长,铁路、船舶、航空航天和其他运输设备制造业增加值_累计增长,电气机械和器材制造业增加值_同比增长,电气机械和器材制造业增加值_累计增长,计算机、通信和其他电子设备制造业增加值_同比增长,计算机、通信和其他电子设备制造业增加值_累计增长,仪器仪表制造业增加值_同比增长,仪器仪表制造业增加值_累计增长,其他制造业增加值_同比增长,其他制造业增加值_累计增长,废弃资源综合利用业增加值_同比增长,废弃资源综合利用业增加值_累计增长,金属制品、机械和设备修理业增加值_同比增长,金属制品、机械和设备修理业增加值_累计增长,电力、热力生产和供应业增加值_同比增长,电力、热力生产和供应业增加值_累计增长,燃气生产和供应业增加值_同比增长,燃气生产和供应业增加值_累计增长,水的生产和供应业增加值_同比增长,水的生产和供应业增加值_累计增长
2025年5月,5.5,6.7,5.3,3.7,10.3,11.9,5.1,6.3,8.5,6.0,3.6,2.6,-14.0,0.8,7.6,7.3,6.7,6.2,4.1,5.0,0.9,1.7,0.6,4.4,-3.0,-0.2,-2.6,0.7,3.4,2.9,-7.6,-4.5,2.8,3.4,0.7,1.5,10.1,1.6,5.4,3.5,5.9,8.3,1.3,0.9,6.1,7.0,5.4,7.2,-0.6,-0.6,4.8,6.0,8.1,7.1,6.7,9.3,6.3,8.4,2.3,3.7,11.6,11.2,14.6,18.4,11.0,12.3,10.2,11.1,3.3,7.9,-1.8,2.4,17.4,12.9,16.3,23.2,2.0,1.6,5.9,5.8,1.0,1.2
2025年4月,6.3,7.0,4.3,3.3,9.9,12.3,6.6,6.5,6.9,5.3,-4.3,2.3,0.9,5.4,7.3,7.2,7.0,6.2,5.5,5.2,0.0,1.8,2.9,5.5,-3.3,0.6,1.4,1.6,3.6,2.7,-7.1,-3.7,2.9,3.6,0.0,1.8,0.1,-0.4,0.6,3.1,8.0,8.9,2.2,0.8,5.5,7.2,6.0,7.8,0.4,-0.5,5.8,6.2,7.5,6.9,7.7,10.0,7.8,9.0,3.7,4.0,9.2,11.2,17.6,19.4,13.4,12.7,10.8,11.3,8.6,9.2,0.2,3.5,15.6,11.6,28.1,25.2,1.2,1.5,11.4,5.8,0.5,1.3
2025年3月,10.6,7.3,6.8,3.0,12.7,12.9,9.3,6.4,8.1,4.7,3.2,4.8,29.0,7.4,5.4,7.2,7.1,5.9,7.3,5.2,-0.2,2.1,5.7,6.5,2.6,1.9,1.5,1.7,5.2,2.4,-3.7,-2.5,3.6,3.8,2.5,2.4,1.8,-0.6,4.8,4.0,8.8,9.2,1.2,0.4,8.3,8.0,7.6,8.4,0.9,-0.9,7.7,6.4,6.5,6.6,9.9,10.8,9.3,9.4,4.7,4.1,11.5,11.8,19.0,20.0,13.0,12.4,13.1,11.5,10.0,9.4,7.5,4.8,17.6,10.2,29.4,24.3,3.3,1.6,6.9,4.4,0.9,1.4
2025年2月,,5.4,,0.9,,13.0,,4.5,,2.3,,5.3,,-2.7,,8.3,,5.2,,3.9,,2.7,,7.0,,1.5,,1.9,,0.6,,-1.7,,4.0,,2.4,,-2.2,,3.4,,9.5,,-0.1,,7.8,,8.9,,-2.1,,5.7,,6.6,,11.5,,9.5,,3.8,,12.0,,20.8,,12.0,,10.6,,9.0,,3.2,,5.2,,20.6,,0.8,,3.3,,1.8
2024年9月,3.2,2.3,2.0,2.8,14.5,7.7,3.8,6.2,4.5,2.1,7.4,4.6,-32.6,-28.0,1.7,1.4,4.1,5.6,5.6,5.6,-2.1,2.7,5.1,5.3,1.3,0.4,6.0,5.3,-0.9,0.3,-1.8,2.7,4.7,9.6,2.4,4.3,0.9,-0.2,4.9,3.8,4.6,9.0,11.0,3.1,6.3,9.9,6.9,8.4,-3.8,-1.3,2.7,3.1,8.8,10.2,9.3,7.1,4.6,3.0,4.0,2.5,4.6,7.9,13.7,12.1,6.1,4.5,10.6,12.8,4.5,5.6,6.8,2.5,8.4,10.8,16.1,22.0,10.2,6.1,13.4,10.1,4.8,3.5
2024年8月,3.3,2.3,4.0,2.9,11.0,6.8,-1.1,6.5,4.9,1.7,3.6,4.2,-12.9,-27.3,-0.1,1.4,6.9,5.8,5.2,5.6,7.9,3.3,4.4,5.2,1.5,0.3,5.8,5.1,-2.1,0.5,-0.6,3.4,8.5,10.2,3.8,4.5,-2.9,-0.4,-0.4,3.6,5.9,9.7,2.8,2.1,3.8,10.4,5.4,8.6,-5.5,-1.0,-2.1,3.2,6.6,10.3,9.7,6.7,2.2,2.8,2.9,2.3,4.5,8.4,12.0,11.9,2.6,4.2,11.3,13.1,6.0,5.8,2.1,1.9,5.7,11.2,21.9,22.9,6.9,5.6,9.4,9.7,3.2,3.2
2024年7月,4.7,2.1,5.7,2.8,4.7,6.2,0.0,7.6,3.1,1.1,0.9,4.2,-18.8,-29.4,0.2,1.6,7.1,5.6,2.7,5.6,8.2,2.7,5.9,5.4,3.3,0.0,6.1,5.1,-1.3,0.8,-0.8,4.0,9.6,10.5,3.4,4.7,-5.6,0.1,-2.8,4.2,8.6,10.2,1.5,1.9,7.3,11.4,7.3,9.2,-2.9,-0.3,-1.5,3.9,9.4,10.8,9.3,6.3,3.2,2.9,2.5,2.2,4.4,9.0,12.7,11.8,2.8,4.5,14.3,13.4,9.3,5.8,2.2,1.9,16.0,12.0,28.7,23.1,3.2,5.4,12.5,9.8,3.5,3.3
2024年6月,4.2,1.7,4.4,2.4,6.8,6.5,4.1,9.1,4.2,0.8,3.4,1.4,-27.6,-31.7,0.9,1.9,4.8,5.4,7.2,6.1,-9.8,1.9,5.1,5.3,-1.2,-0.6,6.0,4.8,-0.9,1.2,1.6,4.8,8.6,10.5,3.4,4.9,-7.7,1.1,4.0,5.3,9.2,10.5,6.2,2.0,6.5,12.1,8.6,9.5,-0.4,0.1,3.3,4.8,10.2,11.1,6.4,5.7,3.4,2.8,3.4,2.1,6.8,9.8,13.1,11.6,4.4,4.7,11.3,13.3,3.1,5.2,3.3,1.8,14.1,11.4,19.3,22.1,4.1,5.8,12.5,9.4,2.3,3.2
2024年12月,2.7,2.6,2.2,3.3,4.2,7.3,-0.5,3.7,4.1,3.2,-3.5,4.2,-34.8,-28.1,6.1,2.2,8.4,5.8,3.6,4.8,-4.8,2.2,4.6,5.1,1.2,0.8,1.4,4.6,0.3,0.1,-4.1,0.8,4.2,8.2,0.4,2.9,0.7,0.7,4.3,4.2,9.4,8.9,2.8,3.6,7.6,9.0,9.7,8.3,-0.1,-1.4,8.7,4.0,9.7,9.7,7.9,7.0,7.7,3.6,4.6,2.8,17.7,9.1,10.6,10.9,9.2,5.1,8.7,11.8,8.0,6.0,4.5,3.5,12.8,10.2,14.4,20.4,1.2,5.2,-0.5,7.5,2.9,3.3
2024年11月,3.7,2.6,5.3,3.3,7.2,7.7,-2.8,4.2,7.2,2.9,12.7,5.4,-27.0,-27.3,4.7,1.7,5.8,5.5,1.5,5.0,-5.1,2.5,5.4,5.1,2.4,0.7,2.5,4.8,0.0,0.0,-4.0,1.4,4.2,8.6,-0.8,3.2,5.4,0.8,8.4,4.2,9.5,8.9,5.4,3.7,4.9,9.1,7.7,8.2,-2.3,-1.5,6.7,3.6,7.4,9.7,6.0,7.0,4.4,3.1,3.0,2.6,12.0,8.1,7.9,10.9,5.2,4.6,9.3,12.2,6.6,5.7,6.3,3.4,5.3,9.8,20.5,21.2,1.8,5.6,0.6,8.7,1.1,3.3
2024年10月,4.5,2.5,5.8,3.1,8.6,7.8,-3.7,5.1,4.6,2.4,5.1,4.6,-23.0,-27.4,1.3,1.4,4.2,5.4,3.0,5.4,8.9,3.1,3.8,5.1,1.6,0.5,4.0,5.1,-1.7,0.0,-3.2,2.1,5.0,9.1,-1.2,3.7,4.0,0.2,3.8,3.8,6.9,8.8,7.8,3.5,6.0,9.5,7.2,8.3,-2.6,-1.4,4.0,3.2,7.7,10.0,7.3,7.1,2.4,2.9,3.0,2.5,6.2,7.7,4.4,11.3,5.1,4.6,10.5,12.6,6.0,5.6,7.1,3.0,6.8,10.4,15.2,21.3,5.5,6.0,5.7,9.7,4.1,3.5
