时间,函件数_当期值,函件数_累计值,函件数_同比增长,函件数_累计增长,包件数_当期值,包件数_累计值,包件数_同比增长,包件数_累计增长,汇兑_当期值,汇兑_累计值,汇兑_同比增长,汇兑_累计增长,订销报纸份数_当期值,订销报纸份数_累计值,订销报纸份数_同比增长,订销报纸份数_累计增长,订销杂志份数_当期值,订销杂志份数_累计值,订销杂志份数_同比增长,订销杂志份数_累计增长,快递量_当期值,快递量_累计值,快递量_同比增长,快递量_累计增长,同城快递量_当期值,同城快递量_累计值,同城快递量_同比增长,同城快递量_累计增长,异地快递量_当期值,异地快递量_累计值,异地快递量_同比增长,异地快递量_累计增长,国际及港澳台快递量_当期值,国际及港澳台快递量_累计值,国际及港澳台快递量_同比增长,国际及港澳台快递量_累计增长
2025年5月,0.419023,2.862364,-50.6660308938,-26.8492680874,209.54,1094.76,-0.5174951336,1.9035473932,13.48,83.78,-37.9373848987,-31.3672483002,136868.39,684891.89,-4.5792793981,-2.6197308781,4886.0,25348.5,-7.8678169047,-6.7503841486,1731771.0285,7876997.0275,17.1566791931,20.0933219407,146357.5065,642054.6182,10.6229298195,5.7905823334,1554635.5897,7069361.5841,17.9401579503,21.5309783014,30777.9323,165580.8252,11.0820365165,22.4430436944
2025年4月,0.431774,2.443341,-36.6763803928,-20.2462652684,203.58,885.22,3.146374829,2.4939792516,16.97,70.3,-36.8910375604,-29.9451918286,134073.7,548023.5,-3.6012395243,-2.1177104085,4861.04,20462.5,-9.5918181362,-6.4795450141,1631505.5095,6145225.999,19.0938227499,20.9476686981,134138.1596,495697.1117,8.5344502712,4.4435034005,1465181.6829,5514725.9944,20.0583300266,22.5831030842,32185.667,134802.8929,24.0246712771,25.3706253747
2025年3月,0.741781,2.011567,-23.7675106444,-15.5426211103,280.58,681.64,22.3210393234,2.300730891,16.17,53.33,-24.5098039216,-27.4026681187,148215.29,413949.8,0.9611779605,-1.6273732452,5383.17,15601.46,-5.9865943877,-5.4655778451,1665564.9581,4513720.4895,20.2692947267,21.6320312682,137512.4489,361558.9521,3.9612071585,3.0031143579,1491738.1235,4049544.3115,21.8778187736,23.5229628846,36314.3857,102617.2259,26.8482952838,25.7988197663
2025年2月,0.607134,1.269786,8.7660022716,-9.8613405381,171.93,401.06,7.6446280992,-8.2095530176,13.93,37.16,-34.9369453526,-28.5933897002,127219.61,265734.51,1.3552179056,-3.0143049739,4710.86,10218.29,-3.3982832231,-5.1887680921,1359435.5074,2848155.5314,58.8041574598,22.4433475761,104744.4409,224046.5032,26.4740550406,2.4237645816,1223818.4182,2557806.188,63.5500513174,24.5030944477,30872.6483,66302.8402,23.7745498409,25.2313440423
2025年1月,0.662652,0.662652,-22.0868640954,-22.0868640954,229.13,229.13,-17.3442516504,-17.3442516504,23.23,23.23,-24.1593209272,-24.1593209272,138514.9,138514.9,-6.7082359684,-6.7082359684,5507.43,5507.43,-6.6684403984,-6.6684403984,1488720.024,1488720.024,1.2696555449,1.2696555449,119302.0623,119302.0623,-12.2299653779,-12.2299653779,1333987.7698,1333987.7698,2.1330035435,2.1330035435,35430.1919,35430.1919,26.5289931779,26.5289931779
2024年9月,0.949156,7.326181,23.2971166986,8.1556115004,305.48,2121.43,19.4447702835,33.7926728515,22.27,212.35,-20.9442669507,-19.4453928151,137885.15,1265528.87,-1.5244921895,1.4493929705,5130.32,47494.3,-5.1914163852,-3.2508558234,1496836.0087,12376961.8406,18.6988741963,22.021178195,135717.4058,1137702.129,15.0795792961,18.4487206999,1326391.5563,10972126.6522,18.8088898807,22.3345119153,34727.0466,267133.0594,30.0872060725,24.925661139
2024年8月,0.69823,6.37703,-10.7,6.2,233.6,1816.0,3.7,36.6,20.9,190.1,-20.6,-19.3,143680.0,1127643.7,1.5,1.8,4794.2,42364.0,-6.3,-3.0,1438304.0,10880125.8,19.5,22.5,133011.0,1001984.7,13.9,18.9,1270791.7,9645735.1,19.7,22.8,34501.3,232406.0,33.4,24.2
2024年7月,0.747578,5.678792,19.649810741,8.751368299,199.37,1582.4,-5.6861724774,43.2386193912,25.84,169.22,-8.0427046263,-19.0954293364,141823.53,983963.76,2.8067680283,1.874377433,5113.76,37569.75,-5.5522515967,-2.5767922735,1425623.5392,9441821.8161,22.2248039318,22.9676607724,126877.9577,868973.6867,15.0865998163,19.7337823241,1265656.0865,8374943.4196,22.7443045796,23.3194232438,33089.495,197904.7098,32.2693542419,22.7078179782
2024年6月,1.018247,4.931214,20.5046000762,7.2700998715,308.72,1383.03,59.5452196382,54.8156357042,21.31,143.38,-26.7949158365,-20.8107809566,138823.33,842140.23,-0.4950114662,1.7190163621,5272.5,32455.99,-7.0092699721,-2.0907977207,1457134.9583,8016198.2769,17.654810997,23.100719319,135184.7885,742095.729,13.4635406766,20.5661527082,1292365.8511,7109287.3331,18.183486982,23.422376399,29584.3187,164815.2148,14.6039391697,20.9524190044
2024年12月,0.91541,9.850542,-2.6764223078,1.9281045955,377.97,3115.75,9.1200415728,26.1340220793,23.24,273.88,-27.5561097257,-21.5131107609,147151.47,1695306.07,0.580558994,1.5213263307,5359.84,62911.25,-0.5021450225,-3.4337366134,1779693.7852,17508385.8258,22.2559310455,21.4850092364,148660.1592,1564219.2103,5.5435262104,14.6434604531,1587774.544,15556697.2074,23.7467358628,22.101213884,43259.082,387469.4081,36.1391363443,26.3224767715
2024年11月,0.855465,8.935132,-29.9006605422,2.4245663097,324.6,2737.78,15.3231250222,28.9088948635,19.41,250.64,-28.0044510386,-20.9013159971,142767.45,1548154.6,0.2608007187,1.6116625728,5089.06,57551.41,-5.2695848031,-3.6979902405,1720811.2462,15728692.0406,14.8734277131,21.3983916651,139664.1331,1415559.0511,-0.4227664975,15.6910058521,1540900.9416,13968922.6634,16.2935321396,21.9169416432,40246.1715,344210.3261,22.9294200318,25.1879967981
2024年10月,0.753486,8.079667,3.2851738129,7.6820731679,291.75,2413.18,13.640789935,30.9845088312,18.88,231.23,-28.2129277567,-20.2407643752,139858.28,1405387.15,4.5631857698,1.7509305872,4968.05,52462.35,-6.24693343,-3.5427602119,1630918.9538,14007880.7944,24.0276135398,22.2514393644,138192.789,1275894.918,12.525793925,17.7772667647,1455895.0696,12428021.7218,25.1013309153,22.6522889796,36831.0952,303964.1546,29.7698056395,25.4932791458
